id,name,calculation_method,payment_subject,vat,price
247,Multi-channelled,1,5,6,43.16
248,zero defect,4,15,4,63.1
249,budgetary management,1,5,3,25.08
250,uniform,3,12,6,16.43
251,multi-state,2,2,5,92.07
252,Mandatory,6,0,2,50.43
253,homogeneous,3,3,2,96.26
254,local,2,21,5,20.67
255,model,3,22,5,77.06
256,Self-enabling,5,13,6,7.62
257,task-force,6,19,6,82.25
258,Operative,0,6,2,31.4
259,system engine,0,6,4,88.3
260,interface,5,8,1,13.98
261,framework,0,5,1,26.84
262,zero defect,4,10,3,55.82
263,Focused,3,8,1,36.82
264,Diverse,1,8,0,9.21
265,superstructure,5,17,4,5.9
266,explicit,1,25,4,11.03
267,application,6,23,4,13.22
268,complexity,3,16,3,9.29
269,matrix,3,15,0,54.66
270,migration,0,0,0,19.37
271,Universal,4,14,1,65.89
272,challenge,4,10,6,8.6
273,Face to face,0,5,0,19.6
274,frame,5,3,2,63.92
275,Networked,0,18,3,96.08
276,policy,0,22,0,79.96
277,Virtual,4,12,6,63.58
278,contextually-based,6,12,0,84.54
279,utilisation,2,5,1,96.47
280,interactive,5,25,4,52.47
281,Horizontal,0,17,4,45.01
282,Team-oriented,4,0,2,63.93
283,3rd generation,1,21,1,19.61
284,Open-source,0,22,0,29.0
285,Persistent,6,20,0,1.45
286,even-keeled,6,11,2,14.26
287,high-level,1,14,0,39.51
288,analyzer,6,8,2,64.34
289,throughput,6,10,4,59.72
290,throughput,4,15,3,89.44
291,bandwidth-monitored,6,9,0,83.17
292,moderator,6,8,3,97.88
293,Team-oriented,5,10,1,46.72
294,tertiary,5,13,1,34.07
295,Ameliorated,5,6,4,93.45
296,Progressive,4,11,6,12.82
297,Stand-alone,5,15,6,28.52
298,24/7,5,11,4,33.18
299,Re-engineered,4,4,6,93.3
300,even-keeled,3,16,5,91.32
301,internet solution,4,19,5,89.04
302,Centralized,1,2,6,76.53
303,Enterprise-wide,0,4,0,71.87
304,Compatible,5,14,1,49.92
305,Monitored,4,13,2,58.36
306,Realigned,0,18,4,81.1
307,dedicated,2,7,4,18.72
308,fault-tolerant,2,18,3,11.35
309,Configurable,6,26,6,87.19
310,workforce,0,14,6,15.66
311,Face to face,1,17,0,66.46
312,even-keeled,2,10,3,8.49
313,3rd generation,0,9,1,47.75
314,ability,5,10,4,75.63
315,leading edge,2,1,1,75.05
316,disintermediate,0,6,2,97.17
317,protocol,5,11,5,64.24
318,bi-directional,6,4,6,42.04
319,directional,6,0,1,45.76
320,Enhanced,0,10,3,2.84
321,User-centric,6,9,5,50.51
322,transitional,3,0,3,45.68
323,secondary,3,26,1,47.6
324,Cross-platform,2,7,5,30.02
325,Grass-roots,6,3,3,68.6
326,4th generation,2,7,1,47.53
327,orchestration,5,11,3,65.86
328,hybrid,6,1,0,42.98
329,Optimized,5,0,5,95.23
330,core,4,10,4,74.58
331,matrices,4,2,0,71.21
332,hierarchy,0,10,6,8.31
333,encryption,2,3,4,45.55
334,focus group,4,17,1,51.83
335,attitude,3,22,5,25.12
336,hierarchy,3,25,0,25.59
337,solution,0,24,4,32.31
338,Balanced,6,19,5,41.93
339,Decentralized,2,26,4,16.43
340,Advanced,4,24,2,40.16
341,Horizontal,5,14,2,69.31
342,toolset,4,17,6,35.37
343,Ergonomic,1,2,0,61.81
344,artificial intelligence,4,20,1,15.71
345,stable,1,21,3,39.56
346,encompassing,4,24,0,88.99
347,zero tolerance,4,24,6,95.8
348,Upgradable,2,18,1,79.26
349,Team-oriented,5,3,0,89.38
350,fault-tolerant,2,24,4,90.65
351,leverage,6,17,3,32.66
352,matrix,6,25,6,6.34
353,encoding,1,12,1,33.61
354,middleware,5,12,1,60.39
355,mission-critical,0,12,2,47.42
356,website,1,23,6,70.41
357,methodology,5,17,5,4.96
358,database,6,5,1,33.01
359,grid-enabled,4,7,6,69.2
360,Multi-layered,4,15,4,10.31
361,website,5,7,2,71.97
362,cohesive,1,17,2,71.78
363,Ergonomic,2,14,4,10.94
364,support,5,14,5,9.61
365,forecast,6,22,5,56.76
366,Integrated,4,24,5,96.59
367,leverage,2,5,5,36.86
368,Cross-platform,5,8,1,47.54
369,encoding,2,3,0,7.56
370,Total,3,22,6,52.8
371,eco-centric,1,22,0,67.92
372,Expanded,5,23,4,81.5
373,Managed,6,16,5,85.48
374,well-modulated,0,7,2,62.68
375,User-centric,2,21,2,66.83
376,user-facing,6,22,3,73.99
377,Pre-emptive,2,13,3,66.37
378,Fully-configurable,3,2,5,31.59
379,Robust,5,8,2,86.5
380,analyzing,0,11,4,93.21
381,tertiary,6,11,5,89.65
382,capability,3,4,4,24.9
383,Managed,0,4,4,68.84
384,Open-architected,3,14,4,63.42
385,solution,6,23,4,84.62
386,Ergonomic,4,5,5,58.09
387,asynchronous,3,19,0,69.17
388,radical,0,17,0,97.74
389,Compatible,0,8,4,98.51
390,explicit,0,4,2,17.25
391,knowledge base,5,15,4,29.44
392,capability,5,24,5,9.47
393,exuding,0,4,3,19.57
394,4th generation,3,23,4,15.78
395,Persevering,2,20,3,30.02
396,initiative,4,22,5,28.56
397,circuit,3,22,1,11.11
398,Ameliorated,4,10,6,15.26
399,Open-architected,5,8,5,21.16
400,systematic,5,16,2,78.41
401,24 hour,2,24,3,59.5
402,Public-key,0,26,5,97.1
403,Persevering,6,10,3,14.75
404,eco-centric,3,18,2,99.89
405,multi-tasking,6,12,5,4.07
406,moderator,0,20,5,80.92
407,24 hour,1,21,1,46.8
408,Self-enabling,3,9,2,54.12
409,4th generation,1,2,4,38.42
410,Team-oriented,4,25,4,74.59
411,pricing structure,3,11,4,14.26
412,extranet,6,22,4,7.89
413,analyzing,2,26,2,99.76
414,3rd generation,1,9,0,63.81
415,Stand-alone,3,19,0,99.15
416,toolset,3,3,5,75.36
417,open architecture,0,6,0,50.03
418,concept,6,22,0,3.7
419,needs-based,3,8,4,6.33
420,neutral,0,16,5,32.5
421,Re-contextualized,5,26,0,56.37
422,Enterprise-wide,3,0,1,91.19
423,Future-proofed,3,15,5,9.5
424,monitoring,4,20,4,32.16
425,heuristic,5,10,2,15.83
426,24 hour,3,5,1,39.22
427,Re-contextualized,6,2,5,35.83
428,Object-based,3,12,4,36.82
429,User-centric,4,25,0,7.09
430,Ergonomic,0,21,6,93.63
431,emulation,2,9,1,98.91
432,Optimized,0,6,5,87.59
433,radical,5,0,1,28.46
434,asynchronous,3,24,2,52.72
435,Balanced,6,14,6,44.37
436,Open-source,1,5,4,67.86
437,info-mediaries,5,8,4,36.6
438,system-worthy,5,7,1,90.53
439,transitional,0,21,6,93.14
440,Proactive,3,25,4,81.91
441,responsive,5,22,5,17.82
442,Reverse-engineered,3,3,4,26.31
443,Persevering,6,2,6,19.92
444,hardware,2,9,3,72.54
445,strategy,0,19,4,12.11
446,throughput,1,10,5,73.15
447,extranet,6,20,6,64.28
448,Persevering,3,25,1,72.02
449,stable,3,8,1,41.01
450,implementation,2,0,6,91.69
451,artificial intelligence,6,5,1,95.33
452,directional,1,21,0,97.65
453,radical,1,19,4,36.93
454,static,4,6,6,87.85
455,logistical,3,22,4,56.93
456,encoding,0,9,2,24.96
457,User-friendly,6,22,4,75.65
458,local area network,0,6,0,62.27
459,5th generation,3,9,0,6.68
460,productivity,1,22,1,83.43
461,Versatile,6,11,5,44.2
462,Secured,2,16,4,64.47
463,protocol,6,10,4,7.69
464,Horizontal,6,21,1,65.68
465,solution,5,7,5,88.51
466,collaboration,5,13,5,28.21
467,synergy,0,17,4,13.39
468,matrices,2,12,6,94.54
469,Multi-channelled,0,4,2,32.64
470,client-driven,3,8,5,14.18
471,toolset,0,1,3,90.35
472,Right-sized,6,0,6,11.58
473,homogeneous,4,9,5,71.14
474,Versatile,0,14,3,1.67
475,emulation,1,20,3,13.89
476,conglomeration,2,11,6,91.65
477,Robust,3,16,2,44.44
478,attitude,6,6,4,39.16
479,coherent,4,17,6,58.42
480,Polarised,6,0,6,89.32
481,neutral,3,25,2,65.9
482,encoding,6,7,2,3.41
483,internet solution,0,14,2,18.92
484,approach,3,5,1,7.36
485,Switchable,6,22,2,35.87
486,user-facing,5,5,5,46.49
487,architecture,3,2,3,34.28
488,algorithm,0,3,4,24.03
489,maximized,3,11,1,9.14
490,algorithm,1,22,5,3.04
491,support,6,26,0,39.59
492,interactive,4,21,2,35.44
493,static,0,16,1,85.44
494,Fundamental,6,8,2,26.63
495,Intuitive,3,6,6,59.19
496,Function-based,4,5,0,95.89
497,mobile,1,25,0,47.22
498,Inverse,0,19,4,4.81
499,Exclusive,1,12,1,32.92
500,reciprocal,5,17,5,93.38
501,analyzing,3,8,5,30.43
502,incremental,0,10,0,10.18
503,Reverse-engineered,3,20,5,86.41
504,full-range,3,7,3,80.62
505,productivity,4,18,3,23.46
506,Optional,3,18,3,80.32
507,Inverse,5,25,4,77.24
508,Enhanced,2,0,6,43.92
509,Team-oriented,6,5,0,98.25
510,Ameliorated,5,5,5,52.11
511,Persevering,0,8,0,7.42
512,Synergistic,2,12,6,48.07
513,exuding,3,4,4,72.09
514,24/7,1,1,3,75.72
515,Persistent,1,26,3,93.65
516,Inverse,1,2,4,32.17
517,Ergonomic,0,3,6,25.88
518,website,5,8,5,29.93
519,stable,2,19,6,17.28
520,system-worthy,0,3,5,13.82
521,Pre-emptive,4,9,5,73.34
522,support,3,19,5,91.76
523,interface,0,19,5,87.18
524,frame,6,11,3,91.67
525,monitoring,0,2,4,36.84
526,Front-line,6,5,2,91.54
527,Total,4,21,4,21.03
528,Ameliorated,0,6,2,84.71
529,Ameliorated,6,20,6,6.44
530,migration,0,20,5,33.18
531,Synergized,5,15,2,79.98
532,benchmark,2,17,1,98.85
533,Profit-focused,2,21,0,16.81
534,task-force,4,25,6,72.5
535,contextually-based,1,14,4,78.79
536,service-desk,1,9,1,17.0
537,non-volatile,3,0,3,1.19
538,emulation,6,22,5,20.72
539,Reactive,6,23,2,20.39
540,Self-enabling,3,17,3,47.22
541,Front-line,3,16,2,85.76
542,Reduced,3,17,4,28.03
543,incremental,5,17,1,9.73
544,Reduced,6,19,3,8.68
545,maximized,2,4,1,48.49
546,solution-oriented,3,25,1,29.2
547,secured line,2,12,1,86.52
548,Visionary,2,4,3,27.61
549,Expanded,6,14,2,5.53
550,intangible,4,21,0,35.0
551,Extended,5,21,1,79.85
552,uniform,0,8,4,70.65
553,Multi-tiered,5,14,6,47.11
554,utilisation,2,25,5,9.88
555,Graphic Interface,5,18,0,54.68
556,modular,3,20,1,36.35
557,Grass-roots,5,19,6,7.5
558,Ergonomic,5,8,4,41.42
559,Cross-group,0,22,1,10.62
560,instruction set,2,5,1,51.15
561,Synergistic,3,0,3,82.41
562,Fully-configurable,2,12,4,48.12
563,utilisation,4,9,1,29.7
564,encompassing,0,26,6,29.17
565,optimal,3,1,2,78.74
566,attitude,3,15,0,34.05
567,Realigned,3,7,4,26.95
568,Front-line,2,14,3,45.75
569,software,5,7,5,63.44
570,projection,3,19,6,1.2
571,24/7,4,9,1,69.18
572,directional,3,14,6,91.14
573,maximized,6,8,6,40.28
574,stable,5,11,1,44.69
575,empowering,4,10,6,2.25
576,Ergonomic,5,24,5,31.24
577,discrete,1,24,1,44.89
578,logistical,1,8,5,24.87
579,migration,0,3,3,82.02
580,foreground,2,19,6,59.67
581,neutral,6,4,0,33.21
582,orchestration,3,9,0,99.13
583,implementation,5,1,3,54.97
584,superstructure,3,12,3,47.02
585,Reduced,4,20,0,95.93
586,Re-engineered,6,0,4,64.51
587,matrices,0,7,4,40.61
588,model,4,1,5,13.86
589,leading edge,1,0,1,58.41
590,methodical,4,1,3,86.82
591,methodology,4,3,2,5.5
592,system engine,1,6,2,82.08
593,portal,4,26,0,48.06
594,mission-critical,1,4,1,54.3
595,optimal,5,19,2,93.21
596,modular,3,25,4,28.26
597,adapter,2,11,5,54.3
598,throughput,1,12,5,26.42
599,user-facing,1,16,3,26.94
600,leverage,0,9,2,42.1
601,Reverse-engineered,2,26,1,5.58
602,solution-oriented,2,19,6,7.1
603,explicit,1,1,5,2.61
604,background,3,17,2,9.48
605,ability,2,7,1,80.76
606,process improvement,4,6,3,100.0
607,Multi-layered,1,21,6,98.51
608,encoding,5,24,2,96.4
609,Fully-configurable,6,2,2,2.91
610,flexibility,0,11,4,32.45
611,Cross-platform,4,1,3,14.99
612,Intuitive,5,10,0,87.51
613,Robust,4,13,5,74.57
614,transitional,3,17,1,32.01
615,neutral,5,15,0,42.12
616,Re-engineered,0,19,5,76.27
617,executive,1,2,1,3.09
618,Seamless,5,21,1,79.33
619,optimal,2,19,5,41.19
620,coherent,6,13,1,51.88
621,Automated,3,17,1,41.7
622,orchestration,1,3,6,2.61
623,methodology,0,12,5,25.64
624,Expanded,1,9,3,29.65
625,composite,2,15,0,9.36
626,next generation,4,16,3,79.77
627,content-based,5,7,5,38.78
628,function,2,8,0,87.18
629,optimal,3,15,1,90.69
630,demand-driven,2,6,6,35.11
631,actuating,3,11,1,24.89
632,homogeneous,2,17,1,55.2
633,neutral,6,20,2,13.74
634,actuating,6,1,2,57.74
635,info-mediaries,3,26,3,87.76
636,Up-sized,4,18,3,35.69
637,Enterprise-wide,4,20,5,47.16
638,Right-sized,2,18,5,61.27
639,Seamless,1,11,1,51.88
640,intranet,2,18,5,9.42
641,attitude-oriented,3,8,5,58.5
642,database,5,8,6,40.06
643,adapter,4,5,5,77.5
644,executive,3,11,6,86.17
645,Seamless,5,0,2,61.53
646,homogeneous,4,21,5,64.81
647,Future-proofed,3,17,0,47.43
648,Profound,3,1,0,85.35
649,standardization,0,1,0,63.8
650,ability,2,25,1,74.89
651,actuating,3,2,2,80.08
652,interactive,3,1,1,77.88
653,encryption,1,17,0,26.33
654,workforce,4,20,5,62.81
655,Re-contextualized,1,17,0,81.55
656,Realigned,4,25,5,23.92
657,foreground,1,22,0,76.09
658,heuristic,0,5,4,45.93
659,Profit-focused,4,20,1,46.73
660,tangible,6,16,5,91.81
661,Realigned,3,5,1,22.88
662,Cross-group,4,7,2,34.12
663,initiative,4,14,3,13.62
664,hardware,0,18,4,74.81
665,upward-trending,4,6,4,24.38
666,Fundamental,0,26,3,45.57
667,bi-directional,0,6,4,58.24
668,Centralized,2,5,1,72.26
669,matrix,6,17,2,36.11
670,conglomeration,3,10,1,36.32
671,radical,4,19,1,61.89
672,workforce,4,19,1,29.28
673,asymmetric,4,16,0,27.53
674,architecture,3,5,6,28.11
675,toolset,3,19,2,11.49
676,background,3,0,6,22.35
677,systemic,2,18,2,38.34
678,firmware,3,19,4,17.81
679,discrete,1,5,1,20.88
680,Ergonomic,2,1,4,10.8
681,attitude,1,17,5,39.34
682,installation,4,0,0,5.6
683,disintermediate,1,11,1,35.02
684,value-added,2,19,3,91.82
685,Profit-focused,1,2,0,59.34
686,architecture,0,9,3,43.43
687,Exclusive,6,12,5,11.04
688,Intuitive,6,5,5,65.09
689,Total,5,20,6,5.47
690,time-frame,2,16,2,56.98
691,regional,1,17,6,5.45
692,ability,0,11,5,57.21
693,dedicated,0,2,0,31.64
694,discrete,4,6,0,22.95
695,hub,6,24,6,78.27
696,matrices,6,20,5,41.59
697,Reduced,0,25,0,40.45
698,system engine,4,7,6,13.7
699,Function-based,0,21,4,90.95
700,optimizing,0,4,1,67.8
701,Inverse,2,16,6,55.07
702,groupware,1,0,1,90.87
703,national,0,13,5,57.95
704,initiative,5,16,6,87.66
705,framework,4,19,1,29.97
706,emulation,0,20,2,94.45
707,Stand-alone,2,18,4,83.55
708,upward-trending,3,1,3,29.95
709,De-engineered,3,13,5,80.68
710,client-server,3,13,0,95.93
711,systemic,0,18,4,56.21
712,Exclusive,2,15,5,70.84
713,static,3,19,1,81.34
714,circuit,4,8,3,73.39
715,Pre-emptive,1,7,0,88.64
716,Cross-group,3,22,4,84.51
717,global,0,10,1,41.49
718,holistic,2,1,6,9.98
719,Secured,0,24,4,48.64
720,transitional,2,17,5,23.09
721,Secured,6,25,0,60.4
722,instruction set,0,26,1,89.84
723,background,2,12,2,61.36
724,paradigm,3,7,2,14.2
725,client-server,3,13,3,27.94
726,Organic,3,9,3,25.78
727,contextually-based,6,1,4,79.39
728,alliance,2,9,5,9.16
729,Customizable,3,24,0,1.87
730,even-keeled,2,13,6,4.63
731,bandwidth-monitored,4,6,6,43.98
732,data-warehouse,5,1,4,61.64
733,collaboration,1,4,1,93.69
734,demand-driven,0,3,0,48.79
735,circuit,6,9,1,73.18
736,4th generation,3,7,5,53.96
737,system engine,6,19,2,9.96
738,stable,6,7,3,56.97
739,tertiary,1,4,3,40.21
740,firmware,2,21,4,52.05
741,matrix,4,18,2,24.01
742,database,3,2,0,20.26
743,leverage,2,12,6,50.07
744,Reverse-engineered,5,15,5,25.01
745,bi-directional,4,5,3,74.27
746,zero administration,1,25,0,64.71
747,policy,2,6,6,24.1
748,throughput,5,3,1,89.68
749,system-worthy,2,16,3,84.04
750,regional,0,12,6,57.98
751,next generation,2,22,1,86.93
752,Object-based,5,10,2,44.79
753,Extended,6,24,0,64.36
754,Synchronised,4,17,4,24.2
755,Stand-alone,1,17,5,69.0
756,empowering,1,2,4,22.63
757,actuating,0,6,3,50.54
758,projection,5,2,5,99.61
759,mobile,6,25,1,8.84
760,Monitored,0,11,1,16.72
761,zero tolerance,5,12,4,20.02
762,5th generation,1,21,4,56.07
763,Digitized,6,13,6,8.78
764,attitude-oriented,3,14,3,36.56
765,task-force,3,11,1,90.72
766,scalable,2,14,0,36.97
767,Proactive,3,14,2,39.39
768,context-sensitive,0,13,4,83.63
769,scalable,5,21,4,22.37
770,extranet,3,9,4,8.88
771,Enhanced,6,12,1,91.18
772,Re-contextualized,3,24,3,79.63
773,interactive,2,20,2,40.27
774,Robust,4,0,5,28.43
775,zero administration,3,15,1,4.59
776,optimal,6,5,5,38.23
777,access,2,18,0,28.27
778,initiative,4,2,6,52.82
779,intranet,3,15,3,44.43
780,impactful,0,16,4,21.35
781,grid-enabled,2,25,0,60.3
782,middleware,3,3,4,55.58
783,solution,6,23,4,37.92
784,Down-sized,5,20,1,38.97
785,secured line,5,5,4,76.43
786,mission-critical,6,5,1,94.28
787,Synergistic,6,19,6,19.26
788,User-friendly,2,14,3,75.19
789,Ameliorated,5,15,0,91.01
790,Reactive,4,26,3,32.9
791,conglomeration,0,5,1,14.9
792,circuit,2,9,3,97.24
793,Ergonomic,3,1,4,71.17
794,Upgradable,3,3,3,90.02
795,methodology,5,16,1,81.53
796,Vision-oriented,2,21,1,10.93
797,multi-state,0,19,6,90.49
798,strategy,4,8,2,57.19
799,multi-tasking,0,16,2,42.84
800,Inverse,1,15,6,61.49
801,installation,0,23,4,31.24
802,Reduced,0,20,0,66.4
803,Profit-focused,1,9,3,14.29
804,initiative,1,4,0,15.95
805,Optional,3,6,4,45.27
806,Mandatory,6,9,2,2.9
807,content-based,6,15,4,53.73
808,Assimilated,5,22,4,77.55
809,Profit-focused,6,10,2,29.92
810,next generation,0,2,0,86.58
811,Profit-focused,1,4,3,67.6
812,monitoring,1,24,4,63.43
813,eco-centric,4,14,6,21.58
814,Polarised,0,13,5,20.6
815,Centralized,2,24,6,44.17
816,strategy,5,4,2,92.77
817,Down-sized,2,16,1,92.69
818,Multi-layered,6,0,1,3.19
819,attitude-oriented,6,19,2,76.07
820,empowering,4,7,4,98.05
821,contextually-based,0,10,2,52.3
822,Assimilated,3,16,4,40.3
823,Horizontal,0,9,4,83.78
824,protocol,1,0,3,10.25
825,Decentralized,5,11,4,96.73
